year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
152,2006,Oct,Thu,0,Rivers,Port Harcourt,Bombing/Explosion,Business,Nigeria,Explosives
153,2006,Dec,Wed,0,Unknown,Unknown,Facility/Infrastructure Attack,Business,Italy,Unknown
154,2006,Dec,Fri,0,Bayelsa,Unknown,Hostage Taking (Kidnapping),Business,Netherlands,Firearms
155,2006,Dec,Mon,0,Rivers,Port Harcourt,Bombing/Explosion,Business,Italy,Explosives
156,2006,Dec,Wed,0,Rivers,Obagi,Armed Assault,Business,France,Firearms
157,2006,Dec,Sat,0,Unknown,Unknown,Bombing/Explosion,Business,Nigeria,Explosives
158,2006,Dec,Sun,0,Rivers,Port Harcourt,Bombing/Explosion,Government (General),Nigeria,Explosives
159,2007,May,Tue,1,Rivers,Rumauakunde Emouha,Hostage Taking (Kidnapping),Business,China,Firearms
160,2007,Oct,Mon,1,Bayelsa,Yenagoa district,Hostage Taking (Kidnapping),Business,South Korea,Firearms
161,2007,Jan,Sat,0,Rivers,Ekulama,Armed Assault,Maritime,Nigeria,Firearms
162,2007,Jan,Sat,1,Delta,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Philippines,Firearms
163,2007,Jan,Tue,0,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,United States,Firearms
164,2007,Jan,Thu,0,Bayelsa,Sagbama,Hostage Taking (Kidnapping),Business,China,Firearms
165,2007,Jun,Sat,1,Imo,Owerri,Hostage Taking (Kidnapping),Business,Philippines,Firearms
166,2007,Sep,Sun,1,Rivers,Port Hartcourt,Hostage Taking (Kidnapping),Business,France,Firearms
167,2007,Sep,Sun,0,Rivers,Port Harcourt,Armed Assault,Military,Nigeria,Firearms
168,2007,Sep,Sun,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Philippines,Melee
169,2007,Feb,Mon,0,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Croatia,Firearms
170,2007,Feb,Fri,0,Rivers,Unknown,Armed Assault,Private Citizens & Property,Lebanon,Firearms
171,2007,Feb,Fri,0,Rivers,Unknown,Hostage Taking (Kidnapping),Business,Italy,Firearms
172,2007,Feb,Wed,0,Rivers,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Lebanon,Firearms
173,2007,Mar,Fri,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,Netherlands,Firearms
174,2007,Mar,Sun,0,Kwara,Ilorin,Assassination,Government (General),Nigeria,Unknown
175,2007,Mar,Sat,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Great Britain,Unknown
176,2007,Feb,Sun,1,Bayelsa,Unknown,Hostage Taking (Kidnapping),Utilities,Nigeria,Firearms
177,2007,Feb,Sun,0,Kano,Kano,Facility/Infrastructure Attack,Journalists & Media,Nigeria,Melee
178,2007,Jun,Mon,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Utilities,Turkey,Firearms
179,2007,Apr,Fri,0,Kano,Kano,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
180,2007,Apr,Sat,0,Rivers,Port Harcourt,Armed Assault,Police,Nigeria,Firearms
181,2007,Apr,Tue,0,Kano,Kano,Armed Assault,Police,Nigeria,Firearms
182,2007,Apr,Fri,0,Bayelsa,Unknown,Armed Assault,Utilities,Nigeria,Firearms
183,2007,Apr,Fri,0,Rivers,Port Harcourt,Armed Assault,Utilities,Unknown,Firearms
184,2007,Feb,Mon,0,Unknown,Unknown,Armed Assault,Business,United States,Firearms
185,2007,Mar,Mon,0,Rivers,Unknown,Armed Assault,Military,Nigeria,Firearms
186,2007,Jun,Tue,0,Bayelsa,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
187,2007,Aug,Sun,0,Delta,Unknown,Bombing/Explosion,Utilities,Italy,Explosives
188,2007,Sep,Wed,0,Delta,Escravos,Hostage Taking (Kidnapping),Business,United States,Firearms
189,2007,May,Wed,0,Bayelsa,Otuaka,Bombing/Explosion,Government (General),Nigeria,Explosives
190,2007,May,Sat,1,Rivers,Eleme,Hostage Taking (Kidnapping),Utilities,Indonesia,Explosives
191,2007,May,Tue,1,Delta,Warri,Hostage Taking (Kidnapping),Private Citizens & Property,Lebanon,Firearms
192,2007,May,Fri,1,Bayelsa,Sengana,Hostage Taking (Kidnapping),Maritime,Multinational,Firearms
193,2007,Jan,Sat,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,India,Firearms
194,2007,Feb,Tue,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Great Britain,Firearms
195,2007,Mar,Tue,1,Akwa Ibom,Ikot Abasi,Hostage Taking (Kidnapping),Private Citizens & Property,Russia,Explosives
196,2007,Oct,Sat,0,Bayelsa,Nembe district,Bombing/Explosion,Business,Multinational,Explosives
197,2007,Jun,Wed,1,Bayelsa,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,China,Unknown
198,2007,Jun,Thu,1,Bayelsa,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Poland,Unknown
199,2007,Jun,Fri,1,Delta,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,India,Unknown
200,2007,Jun,Sun,1,Bayelsa,Ogabainbiri,Hostage Taking (Barricade Incident),Business,Italy,Firearms
201,2007,Apr,Sat,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Multinational,Firearms
202,2007,Apr,Sat,0,Oyo,Ibadan,Assassination,Government (General),Nigeria,Firearms
203,2007,Jun,Thu,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
204,2007,Sep,Fri,1,Cross River,Calabar district,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
205,2007,Dec,Fri,0,Unknown,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
206,2007,Jan,Mon,0,Lagos,Lekki,Assassination,Government (Diplomatic),Nigeria,Firearms
207,2007,Oct,Mon,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,United States,Unknown
208,2007,Aug,Tue,0,Rivers,Port Harcourt,Armed Assault,Journalists & Media,Nigeria,Firearms
209,2007,Aug,Fri,0,Sokoto,Sokoto,Armed Assault,Private Citizens & Property,Nigeria,Melee
210,2007,Sep,Thu,0,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Italy,Firearms
211,2007,Oct,Wed,0,Rivers,Unknown,Armed Assault,Military,Nigeria,Firearms
212,2007,May,Fri,0,Ondo,Riverine,Hostage Taking (Kidnapping),Government (General),Nigeria,Unknown
213,2007,Aug,Sat,0,Imo,Owerri,Assassination,Private Citizens & Property,Nigeria,Firearms
214,2007,Aug,Sat,0,Unknown,Unknown,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
215,2007,Dec,Tue,0,Akwa Ibom,Ibeno,Facility/Infrastructure Attack,Business,Nigeria,Firearms
216,2007,Nov,Wed,0,Delta,Bomadi,Armed Assault,Police,Nigeria,Firearms
217,2007,Nov,Thu,0,Unknown,Unknown,Facility/Infrastructure Attack,Utilities,Netherlands,Sabotage Equipment
218,2007,Nov,Tue,0,Rivers,Bonny,Armed Assault,Police,Nigeria,Firearms
219,2007,Apr,Thu,0,Delta,Unknown,Armed Assault,Maritime,Multinational,Firearms
220,2008,Jan,Tue,0,Rivers,Port Harcourt,Armed Assault,Police,Nigeria,Firearms
221,2008,Apr,Tue,1,Rivers,Ogbogwu,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
222,2008,Jun,Sun,0,Delta,Beniboye,Bombing/Explosion,Utilities,Nigeria,Explosives
223,2008,Jun,Sun,0,Delta,Buruto,Bombing/Explosion,Utilities,Nigeria,Explosives
224,2008,Oct,Wed,0,Rivers,Bonny,Facility/Infrastructure Attack,Business,Nigeria,Firearms
